clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean
paradise_city_guitar.mp3_3,2067.9525655210746,1525.9313038486112,0.00020473328,19.472304914835618,0.043768287,0.06057276,4.514103e-05,0.049187,452.3125,5.251337868480725,0.0050566893424036285,1525.9313038486112,3501.762158656637,24.065214,1297.9985,0.9891074,36.142307,0.07916883344620743,0.7213703,237.27702,0.44640446,2.8846447,3501.762158656637,0.03527923,29473.387416404323
paradise_city_guitar.mp3_4,1945.6629799887305,1364.4136105284413,0.0005237543,20.386696010546526,0.038633205,0.058806095,2.0176398e-05,0.040673018,699.3762376237623,8.119742259940281,0.018594104308390022,1364.4136105284413,2828.48289655089,18.71246,1001.40625,1.2812669,215.41202,0.08059550660313468,0.07063307,219.44894,0.3424112,5.331635,2828.48289655089,0.031060139,33339.18652411522
paradise_city_guitar.mp3_5,2295.805028557019,1669.3418963553165,2.2912407e-05,20.09765537676072,0.08744047,0.122705996,0.0001623467,0.09709326,620.3941176470588,7.202761637988529,0.014648526077097506,1669.3418963553165,4102.491859459656,46.582153,5167.8486,0.98383343,1.7403538,0.0857984229876161,0.042984106,215.08737,0.41004848,1.567686,4102.491859459656,0.07173492,14581.34791721448
paradise_city_guitar.mp3_6,2286.463248028081,1582.4559173497103,9.416576e-06,19.302705748638438,0.06014384,0.085087314,4.543908e-05,0.06469629,626.776,7.276855147392292,0.017913832199546485,1582.4559173497103,3977.50928187887,34.948086,2424.4287,0.9172536,1.7600343,0.09307880224458204,0.43529022,230.38293,0.5072735,1.3823286,3977.50928187887,0.05052501,21431.949967611745
Points_Of_Authority_guitar.mp3_1,1909.7771264778935,1628.868408685007,0.00019307331,18.625525503739333,0.07485837,0.22720376,0.0015264241,0.0968841,658.546875,7.645714285714286,0.014988662131519274,1628.868408685007,3447.5291532628676,29.502134,4723.847,1.1601815,12.028362,0.06644177510642414,0.12817398,191.9373,0.60207736,10.206924,3447.5291532628676,0.21725407,17232.540805653567
Points_Of_Authority_guitar.mp3_2,1866.5753687067215,1637.7851873700122,9.041197e-05,19.07239627991854,0.07486091,0.1930369,0.000945896,0.086029276,398.9189189189189,4.631439602868175,0.01070294784580499,1637.7851873700122,3497.045520510836,31.320051,4337.1113,0.98263854,19.944448,0.06333975304760062,0.26020867,198.18369,0.5885995,6.515373,3497.045520510836,0.18431833,17218.59785808878
Points_Of_Authority_guitar.mp3_3,1676.1005314293195,1668.1549383446134,1.1408482e-05,19.666018151349192,0.07549908,0.14688608,0.00034251486,0.08705585,636.0472440944882,7.384494081097006,6.802721088435374e-05,1668.1549383446134,3437.67921282411,32.46913,4001.625,0.8503142,10.193862,0.04599669843266254,0.06852068,215.32101,0.5768113,1.3541094,3437.67921282411,0.10795401,17086.299205511797
Points_Of_Authority_guitar.mp3_4,1701.9358780562357,1643.6063260612602,1.2653387e-05,19.63058671308897,0.07720154,0.13538511,0.00038946662,0.091751836,646.2331288343559,7.502751971954425,6.802721088435374e-05,1643.6063260612602,3414.0793555292184,34.479565,4202.4287,0.86603385,17.566936,0.04924195469717492,0.22718526,220.71674,0.56691754,1.3500172,3414.0793555292184,0.095740594,16541.1196894444
Points_Of_Authority_guitar.mp3_5,1844.4188179955274,1609.4609871714854,0.00011042478,18.85817963111085,0.07970282,0.2326946,0.0012555037,0.09190392,444.3181818181818,5.158524015666873,0.014603174603174604,1609.4609871714854,3443.579177147833,31.894588,5036.152,1.0200895,18.43098,0.06403476018285603,0.001573484,195.9109,0.59809077,7.8273444,3443.579177147833,0.22530246,16109.843163077241
Points_Of_Authority_guitar.mp3_6,1728.6714984119499,1666.3438974651428,1.5043627e-05,19.84488520609563,0.07478474,0.15610938,0.00045984014,0.08359393,640.5795454545455,7.437113997113998,6.802721088435374e-05,1666.3438974651428,3487.5289113898025,32.188774,4005.0232,0.82497233,10.070981,0.046749150420859135,0.4281618,207.97531,0.5650232,1.2276515,3487.5289113898025,0.1388914,17155.904511499397
Psycho_guitar.mp3_1,1641.2947549089968,1424.0658699365415,1.2768654e-05,19.909755908497747,0.08861176,0.17068073,0.00042151054,0.10000648,635.7925531914893,7.381537125488494,6.802721088435374e-05,1424.0658699365415,3165.447525638545,42.942036,5478.504,0.766051,2.1513615,0.0504747514754257,0.120262325,232.50633,0.45478472,0.9128554,3165.447525638545,0.12389914,14557.886024617284
Psycho_guitar.mp3_2,1389.5128306616957,1501.3822058512596,5.278748e-05,20.10875922573246,0.11482963,0.22926643,0.0019852093,0.14855799,552.9130434782609,6.419307897071871,0.003854875283446712,1501.3822058512596,2704.66697858214,43.79236,10046.762,0.9960096,12.555789,0.0356615379498839,0.017337581,218.54584,0.4388269,8.070532,2704.66697858214,0.19248614,11234.033586308693
Psycho_guitar.mp3_3,1678.9761344616943,1396.8671952928846,5.883635e-06,19.44348427912235,0.08424917,0.1561476,0.00026422492,0.093579754,631.7704081632653,7.3348401129159155,0.0012244897959183673,1396.8671952928846,3168.447507498065,43.355854,4875.551,0.79840297,1.7039995,0.056713186919504645,0.37033904,247.03397,0.4703204,1.0018704,3168.447507498065,0.10681929,15287.983335298066
Psycho_guitar.mp3_4,1382.417441300838,1467.7825791897442,4.9681268e-05,20.20771769695675,0.11621352,0.2181806,0.0017219905,0.14406198,540.7735849056604,6.27836905831515,0.006870748299319728,1467.7825791897442,2708.5169553018577,44.217022,10076.148,0.9667252,15.078579,0.035495628144349846,0.003072972,219.38109,0.432052,7.294566,2708.5169553018577,0.18445995,11048.627441768504
Psycho_guitar.mp3_5,1922.7816933588397,1398.5910282566228,7.262692e-06,19.570825601709355,0.13693778,0.1935894,0.00038005775,0.14991876,653.7375,7.5898775510204075,0.028684807256235827,1398.5910282566228,3486.9789147155575,74.417984,12670.274,0.8732933,1.7581425,0.07107931320143189,0.17644206,251.41353,0.3964763,1.3868446,3486.9789147155575,0.10543614,9413.03297982315
