clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean,Cluster
Basket_Case_guitar.mp3_3,1259.557212351198,1298.4214946165089,4.7576364e-06,19.73389522221472,0.060554333,0.09242707,0.0001618001,0.07087882,655.3820224719101,7.608970419628525,0.0021768707482993,1298.4214946165089,2499.168221205012,20.261219,2534.3208,1.0997264,5.4506226,0.0336868711300309,0.014646811,232.41945,0.55751604,13.497609,2499.168221205012,0.05762549,21121.523430702546,7
Basket_Case_guitar.mp3_4,2049.163018534655,1477.198234646051,1.701294e-05,19.936694080075466,0.09420119,0.13091071,0.00012407062,0.10104616,654.16,7.594782766439909,0.0028798185941043,1477.198234646051,3664.861172419214,53.86477,5956.4497,0.87532973,4.759303,0.0810837878531346,0.4557142,241.42802,0.49063763,1.3147967,3664.861172419214,0.07348098,13651.630806761848,5
Basket_Case_guitar.mp3_5,1312.589147310069,1197.002115867417,2.6620117e-05,20.13115359565523,0.09144041,0.16620213,0.00040188394,0.10119997,423.05555555555554,4.911665406903501,0.0141496598639455,1197.002115867417,2449.0018578874806,40.272903,5799.021,0.6516893,8.37702,0.0439509813999613,0.044710632,233.15959,0.48428637,1.1380806,2449.0018578874806,0.13170871,12773.345091247604,14
Basket_Case_guitar.mp3_6,1690.2358225190646,1423.0474328836556,1.2257295e-05,19.879225973582777,0.09588465,0.1889402,0.00043584555,0.10344803,665.2407407407408,7.723429915175948,0.0210657596371882,1423.0474328836556,3159.914225764319,44.333336,6372.291,0.9267155,7.851648,0.0595306302002709,0.17160565,231.11652,0.5215367,3.4767256,3159.914225764319,0.14517197,13422.376650511316,2
blur2_guitar.mp3_1,1871.3270074359573,1392.8751067268538,1.0310753e-05,19.710105523811663,0.12109231,0.17565228,0.00029153042,0.13145727,649.7831325301205,7.543967434363304,0.0042630385487528,1392.8751067268538,3199.18065499226,61.990707,9898.088,0.8655536,9.379734,0.0721170998210139,0.31515542,237.88579,0.54554635,1.0383894,3199.18065499226,0.098365024,10628.254586550844,5
blur2_guitar.mp3_2,1871.4184091026652,1399.701554160982,9.138056e-06,19.738451971548216,0.11976497,0.16733445,0.00020607408,0.12928757,653.9358974358975,7.592180940752369,0.0077324263038548,1399.701554160982,3220.647191853715,60.72379,9637.8545,0.85568625,12.165487,0.0709923900686919,0.025928406,240.51717,0.5288431,0.90163606,3220.647191853715,0.08399643,10771.09553137397,5
blur2_guitar.mp3_3,1810.4558863682664,1405.5455048941303,3.7026257e-06,20.393746191875124,0.10888143,0.1687793,0.001006744,0.12831897,574.9285714285714,6.674907677356657,0.0010884353741496,1405.5455048941303,3201.7806392705106,51.865154,8514.432,0.8959131,6.6428885,0.0630385454963235,0.019202024,223.85616,0.5099749,2.999124,3201.7806392705106,0.15252283,11847.749662151968,5
blur2_guitar.mp3_4,1818.0911600603224,1422.4674901138246,7.0752653e-06,19.64191535064804,0.12622541,0.17437415,0.00041552022,0.13920175,624.1754385964912,7.2466626884672,0.0290929705215419,1422.4674901138246,3206.630609943402,60.646694,10816.199,0.8483995,8.30564,0.0620706753095975,0.01696045,236.34511,0.50865394,1.4140279,3206.630609943402,0.17002593,9942.529265970514,2
blur2_guitar.mp3_5,1458.9008820188687,1377.19755035765,1.9343846e-05,22.34090519165307,0.0330429,0.17403167,0.00052066066,0.040654533,653.3974358974359,7.585929414500843,0.0210657596371882,1377.19755035765,2818.382957623839,11.206661,1069.524,1.1719155,17.701372,0.0477963852070433,0.033516753,177.2508,0.40222996,18.316284,2818.382957623839,0.17351381,39009.87969342119,4
blur2_guitar.mp3_6,1806.9488563128784,1467.7264777514429,3.9505827e-05,20.754797896303995,0.08264172,0.17440076,0.0022098608,0.12273909,378.60526315789474,4.395598520109798,0.0040589569160997,1467.7264777514429,3261.2969460502127,38.236313,5988.1074,1.0229212,10.960996,0.0611572265625,0.10210814,203.46507,0.4957423,9.50727,3261.2969460502127,0.17211224,15609.547715760524,14
